time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6
10,1.06750883720641,-1.06162216213628,-1.83186689086228,-0.422502743292915,0.528841802105869,0.0707391660363876,0.371772379258612,-0.22636773235704,0.184257354189505,-0.0030037125205436,-0.156246426456582,-0.401624208902655,-0.461546109163297,-0.176489869223348,0.154661049442187,-0.0564038877103878,0.470917041410696,0.0313540132099443
11,1.1024734797532,-1.08508937152828,-1.8126705046997,-0.423151562501818,0.515471989947528,0.0307621714618621,0.328433438317813,-0.242488263414667,0.199644930280406,-0.0105981392969082,-0.112107642691433,-0.397646987459864,-0.406782439351272,-0.147167425875685,0.153136460552844,-0.0939492336742287,0.41346232362191,0.0474790469178199
12,1.13337244684849,-1.11002899542531,-1.79194275276878,-0.424738812483536,0.50623439797142,-0.0087409399185771,0.290396187030213,-0.25588515887254,0.214887625876236,-0.0216815977187997,-0.0735390444057458,-0.392194078489799,-0.355739966266838,-0.121982926147068,0.151787740381645,-0.126080386514439,0.359746228316138,0.0607707247044231
13,1.16071469857674,-1.13618968722175,-1.76969695555425,-0.427584557700378,0.500593361709016,-0.0476381050774525,0.257215959218262,-0.266980313278963,0.230011594416653,-0.0356642043434323,-0.0400924976561788,-0.385586198262025,-0.309666199000996,-0.101035859013943,0.150782695254093,-0.151998287996148,0.311049982035294,0.0705866735007387
14,1.18496014552898,-1.16336222698544,-1.74594298858626,-0.431947373355243,0.498062777627647,-0.0858316237785592,0.228370731014207,-0.276189539837834,0.245059419610878,-0.0519195875550882,-0.011239281339079,-0.378181309127469,-0.268944956684919,-0.0841343510252778,0.150279724104974,-0.171716936560373,0.26778739366215,0.0767986145418231
15,1.2065155881575,-1.19137768589821,-1.7206857089127,-0.438024340781802,0.498210459479036,-0.123259502293765,0.203328836938028,-0.283900127112074,0.260088549044202,-0.0698535413811572,0.0135615808190561,-0.370329105709416,-0.233444523534271,-0.0709216579953819,0.150417143407466,-0.185811075428782,0.229848720730424,0.0796677287805414
16,1.22573587069946,-1.22010392708477,-1.69392357511751,-0.445956631096265,0.500657202020457,-0.159892938403896,0.181587302131885,-0.290459494061145,0.275169145429083,-0.0889472527975251,0.034824089982808,-0.362339789613151,-0.202760731674051,-0.0609718490796606,0.15131182266942,-0.195169702689693,0.196842284472309,0.0796930292927822
17,1.24292781310934,-1.24944139742664,-1.66564747562824,-0.455838250799607,0.505072973651044,-0.195731428816713,0.162690527373713,-0.296171853986264,0.290382187465094,-0.108778138035814,0.0530156593724541,-0.354467473063164,-0.176372473212477,-0.0538554808311164,0.153064912122552,-0.200798298185645,0.168250658470939,0.0774752370439335
18,1.25835535292984,-1.27931886860632,-1.63583970998906,-0.467725988876065,0.511171812152231,-0.230796841059356,0.146236855383481,-0.30130011873288,0.30581837794349,-0.129024092623881,0.0685497562555239,-0.34690546539964,-0.153733772157299,-0.0491802482948944,0.155771708409386,-0.203684089214173,0.143524606446024,0.0736162264183826
19,1.27214289299498,-1.3094527522291,-1.60472177522949,-0.481533648163158,0.518643134242843,-0.264864541768537,0.120608162655061,-0.279661432982945,0.293752444026777,-0.136432587906721,0.0746511847163227,-0.310555795290454,-0.747563368414111,1.42941745285835,-1.40768013864348,0.542978049306309,-0.288396362143381,1.68951675164505
