tau1,tau2,tau3,tau4,tau5,tau6
1.29703345625105,-5.78955678668519,37.4851881766186,1.37716182716358,-0.0480674398413803,-0.0352913124898769
1.54302396439273,-3.93824721097866,37.5624908551985,1.33241747678523,-0.0380138250824762,-0.0352913367578129
1.67465578046411,-1.89805036576488,37.6400608391607,1.28580605441389,-0.0287631737060167,-0.0352989562035992
1.71196426494162,0.297851075076929,37.7137876132557,1.23850907425428,-0.0202043622150142,-0.0353114187235257
1.67874015978798,2.62175287836017,37.7810268600899,1.19162659079232,-0.0122421232007547,-0.035326187614668
1.59754054483881,5.05119824196551,37.8403605341413,1.14606984672177,-0.00479501167943018,-0.0353413030591166
1.48720086872308,7.56825688599045,37.891296986049,1.10252395929425,0.00220635037201188,-0.0353554594415346
1.3621258644933,10.158672086806,37.9339865978982,1.06145558725263,0.00882079824270973,-0.0353679209407987
1.23258356992387,12.8110672002161,37.9689850847255,1.02314365209565,0.0150980007110153,-0.035378377212829
1.10542826995124,15.5162877034971,37.9970704615956,0.987717937057211,0.0210797300451988,-0.0353867999425853
0.984910081695891,18.2668899948282,38.0191075527363,0.955196778270224,0.0268010309537239,-0.0353933267848223
5.99769792670361,30.0055691374091,38.2703961744893,1.13006518706742,0.111396926201461,-0.0397311309005884
5.23991931327949,32.0504819783183,38.2859497611813,1.10351861562753,0.114612202531291,-0.0397476599963464
6.69844816366274,14.4007267637943,37.5770369243213,0.664054345951457,0.0681261059834901,-0.0371325507140168
6.48609818174869,14.7307468851096,37.5750677953646,0.671741690365061,0.066762514710002,-0.0371301608891257
-0.385227515176926,25.0578376553043,38.0606902093168,0.91227476380634,0.0315000992901942,-0.0353991840812822
-0.353279675563936,27.0150147765249,38.0751183008482,0.92805061598715,0.027856160423553,-0.035402186240783
-0.320779620815221,29.0671596608097,38.0877661789735,0.943089475330149,0.0245315423574033,-0.0354046178196134
-0.288640117486702,31.2060564584719,38.0985080287392,0.95734644145822,0.0214888325785946,-0.0354065284689651
-0.257504510247161,33.4241184446002,38.107266230189,0.970806650428039,0.0186960205539934,-0.0354079754289383
-0.22778867948508,35.7143882160929,38.1139747694692,0.983476484897936,0.0161255683804295,-0.035409018453083
-0.199723959219133,38.0705235012179,38.1185433059975,0.995376904894254,0.0137536678158988,-0.0354097162585536
-0.173396377523458,40.4867727488351,38.1208219633349,1.00653844677907,0.0115596407828341,-0.0354101241832968
-0.148779735036968,42.9579431548765,38.1205664308675,1.01699752371188,0.00952545146344168,-0.035410292738971
-0.125761432769847,45.4793622428922,38.1174024456239,1.02679372997457,0.00763530570028935,-0.0354102667639325
-0.10416068524034,48.0468326032155,38.1107881446104,1.03596791268921,0.00587531935568439,-0.0354100849389446
-0.0837389555117798,50.6565773538341,38.0999720611274,1.04456082370116,0.00423324119191245,-0.0354097794520088
-0.0642021309538465,53.305170841625,38.083943560273,1.0526122055672,0.00269821889784069,-0.0354093756189397
-0.0451931205309775,55.9894440043363,38.0613710746468,1.06016020073272,0.00126059870271014,-0.0354088912423634
-0.0262718663869476,58.7063442971657,38.0305212420855,1.06724099922229,-8.82501095346376E-05,-0.0354083354071513
-0.00687658696368547,61.4527117644568,37.9891483400043,1.07388866523486,-0.00135609471943058,-0.0354077062306933
0.0137462145161913,64.2248950130181,37.9343370279652,1.08013510389096,-0.00254999354038571,-0.035406986680154
-5.20686722114568,80.0984951266668,38.7338979808188,1.37232305419475,-0.0355480587493916,-0.0336858235255714
-5.23909865178001,82.5499251766228,38.7210130770331,1.37748318895185,-0.0361746632825438,-0.0336805207702561
-5.25080596857148,83.2017415747479,38.7148404050614,1.37882188259073,-0.0363128918694468,-0.0336782970266108
-5.22641773183137,81.9710632404362,38.7197278872946,1.37641562485341,-0.0359804786603612,-0.0336795273178323
0.0302343444988277,66.1375037023518,37.8876175109735,1.08415779658259,-0.00332432432003318,-0.0354075976520411
0.00806593012192669,63.3508544183033,37.953709374436,1.07818057427568,-0.00217726166273689,-0.0354083036713393
-0.0121478608607603,60.5867434462406,38.0038815084917,1.07182017278267,-0.000960685099875447,-0.0354089416045892
-0.031372715322774,57.8495890904058,38.0416310503348,1.06504701648631,0.000332050068316118,-0.0354095318195814
-0.0502994290660638,55.1428647707228,38.0696386057603,1.0578290853624,0.00170819307859661,-0.0354100795452988
-0.069450909909811,52.4696855562323,38.0899721935752,1.05013199855419,0.00317575503059389,-0.0354105794718166
-0.0892415623534047,49.8331349054565,38.1042270082624,1.0419191626379,0.00474366128519796,-0.0354110182072699
-0.110009842753628,47.2364590829506,38.1136249268128,1.0331520377226,0.00642191348715755,-0.0354113756165785
-0.132034234170594,44.6831914503524,38.1190882660487,1.02379058013517,0.00822177067451192,-0.0354116255523839
-0.155537690254326,42.1772384494614,38.1212969778391,1.01379393773748,0.0101559582977467,-0.0354117363077903
-0.180682979653324,39.7229439225821,38.1207353267476,1.00312149280822,0.0122389136476704,-0.0354116709952507
-0.207559948822777,37.3251406002735,38.1177321593458,0.991734376741376,0.0144870777474061,-0.0354113880388172
-0.236165039643936,34.9891931829058,38.1124976161074,0.979597615480377,0.0169192459617154,-0.0354108419691749
-0.266373235610871,32.7210347853369,38.1051582618866,0.966683108125495,0.0195569929095143,-0.0354099847408233
-0.29790296351215,30.5271966677527,38.0957919511281,0.952973693657721,0.0224251917022296,-0.0354087678245854
-0.330275362595584,28.4148296851468,38.084463190953,0.938468624246185,0.0255526542471988,-0.0354071453889596
-0.362770959616536,26.3917143207475,38.0712592635595,0.92319083605946,0.0289729276005373,-0.0354050788801384
6.17663044069333,15.2475282711106,37.5764078281994,0.681512426234339,0.0646153259659225,-0.0371018494658453
6.57426544958315,14.5692513078036,37.5769729311471,0.668238959263605,0.067283039243042,-0.0371196566287765
5.08110861722004,32.4964045452448,38.2878154518144,1.09806391875981,0.115270553246108,-0.0397514806958628
5.38775478338151,31.594165764524,38.2791546238052,1.10924010653258,0.113760622373634,-0.0397484445252246
6.35702276160276,29.0250626394532,38.2543314595131,1.1437951190626,0.109523331154535,-0.0397309389341847
1.01962416013174,17.4011954306867,38.0131614811049,0.965102837885501,0.0250171606688465,-0.0353924885413205
1.14252663172339,14.6644562984468,37.989381581044,0.998534260020412,0.0192181096213848,-0.0353852315152761
1.2710515593013,11.9752923305546,37.9592897302071,1.034873909802,0.0131490258507649,-0.0353759301085375
1.40025835849502,9.34162611700505,37.922035584291,1.0740718887625,0.00677314696368404,-0.0353644642956623
1.52236499957939,6.77323064103452,37.8768923984356,1.11595532848756,4.66867152159032E-05,-0.0353509164185736
1.62593952892717,4.28228359773714,37.8234057908413,1.1601897664959,-0.00708239408933794,-0.0353357047978513
1.69525806590046,1.88406980160252,37.7615925424011,1.20624180782176,-0.0146757504456058,-0.0353197435838088
1.71023630037463,-0.402194629889165,37.6921930400692,1.25335372438178,-0.0228061784679923,-0.0353045922893643
1.64757861069176,-2.55252159068283,37.616965216148,1.30054740310705,-0.0315593645321061,-0.0352925170378797
1.48394632568677,-4.53753152371835,37.5389765389297,1.34668124735753,-0.0410359194306677,-0.0352863409377283
1.20175021477504,-6.32246952806306,37.4628029085289,1.39058424301334,-0.0513536203191416,-0.0352889505198098
-12.9226198312662,-8.01297021235575,37.7125153724045,1.25641322169466,-0.137165037846398,-0.0315425455222737
-13.5790104655969,-7.01897136501991,37.8266770001022,1.21971103288679,-0.143161854993753,-0.0316441481282368
