"time","q1","q2","q3","q4","q5","q6","x","y","z","roll","pitch","yaw","qx","qy","qz","qw"
18,-0.76,-0.825,1.095,1.289,1.571,1.75,-0.7349668733700324,0.4585289159896624,0.3603000251472258,-3.139690321157335,-0.01164371511006129,2.202376703835999,-0.4525239215280981,-0.8917327526489112,-0.001786404385286111,0.005622015421519124
19,-0.708,-0.885,1.084,1.359,1.571,1.748,-0.7439833346595028,0.4078749229181317,0.4238057488313213,-3.139537309668013,-0.01263183462550315,2.256374695673013,-0.4282838568945789,-0.9036215975824142,-0.001776454390806333,0.006147399117230393
20,-0.668,-0.921,1.061,1.417,1.571,1.749,-0.7506581746343942,0.3706641204841563,0.4706118857115624,-3.139347385701877,-0.01361393391842546,2.295372291684546,-0.4105816091394621,-0.911797756063946,-0.001771294025769814,0.006667592569812295
21,-0.639,-0.928,0.995,1.435,1.562,1.747,-0.7678093873977901,0.3524226336006066,0.5083959979299567,-3.120856212011659,-0.06618773258416667,2.326005154981037,-0.3960315810859136,-0.9175821062913945,-0.003608804686887963,0.03448248142421702
22,-0.661,-0.9,0.969,1.372,1.551,1.745,-0.7775051029633945,0.3813118331839553,0.4902177476978546,-3.099489860639785,-0.1243916634703503,2.305053188304393,-0.4041091889801112,-0.9123556078184755,-0.006042813789981747,0.0653183945417861
23,-0.725,-0.797,0.872,1.17,1.508,1.75,-0.8107277147621195,0.475992270861609,0.4275618027345217,-3.019986966285932,-0.3092458936461641,2.228735991607761,-0.42628156226054,-0.8894090324654449,-0.01385836741270413,0.1644492271135659
24,-0.676,-0.85,0.988,1.141,1.52,1.734,-0.8067160210715715,0.4163713031654154,0.4164187028377516,-3.042882805200168,-0.2795772268079477,2.295954514405418,-0.3995668330848448,-0.9047613016223763,-0.01255222438854532,0.1469550089246053
25,-0.591,-0.911,1.129,1.12,1.538,1.718,-0.8002802601313158,0.3228302277606612,0.4001644738134488,-3.074446427589674,-0.225429072910455,2.399620695117854,-0.3565124084825692,-0.9269033523198106,-0.009668703312087624,0.1168571531080473
26,-0.542,-0.9350000000000001,1.189,1.116,1.547,1.714,-0.7965816992352041,0.2733032418296428,0.3919376863002573,-3.089027660524259,-0.1953201307694245,2.45363520147149,-0.3331003052476644,-0.9374750673688518,-0.008248604862457595,0.1005815352015611
27,-0.391,-0.972,1.309,1.122,1.566,1.722,-0.7868683442753447,0.1355552640356294,0.3685550965303918,-3.119944015952596,-0.1097932090452628,2.59846768804554,-0.267245069284808,-0.9620046808759553,-0.004305314915314391,0.05575420324235354
28,-0.229,-0.969,1.365,1.152,1.572,1.747,-0.7771580629064438,0.002627205278587389,0.3459651949752176,-3.138780958803991,-0.02265428918451439,2.736343410268454,-0.2012122406682939,-0.9794811685731433,-0.0009024368644258453,0.01137805886520135
29,-0.213,-0.966,1.368,1.157,1.571,1.751,-0.7760222716397215,-0.01016006112345111,0.343056863323517,-3.139678677890426,-0.01164180695699414,2.748376637875872,-0.195334954099642,-0.9807188472793124,-0.0001985352909591025,0.005895666354688929
30,-0.319,-0.966,1.38,1.153,1.57,1.745,-0.7692964038937826,0.07074027069388721,0.3377090299502863,-3.140150382530749,-0.003600846238624154,2.648387895243545,-0.2441088223840265,-0.9697459055244251,0.0002598162105567858,0.001921990747421084
31,-0.462,-0.9429999999999999,1.359,1.163,1.57,1.742,-0.7599946010868112,0.1839512397582988,0.3299559390167112,3.140979658966395,0.008219405224723593,2.508383194723936,0.3113380017414906,0.9502903057348918,-0.0009882574090037404,0.004000855557865256
