"time","q1","q2","q3","q4","q5","q6","x","y","z","roll","pitch","yaw","qx","qy","qz","qw"
18,-0.544,-0.917,1.324,1.179,1.57,1.745,-0.3774477298866949,0.0724290251745046,-0.6371985366734797,-0.001851087539780957,-0.01511156848845143,-0.3697762864435613,-0.002298759217524851,-0.007256791881593543,-0.1838381319347195,0.982927055240825
19,-0.607,-0.89,1.283,1.197,1.571,1.75,-0.3700659415466978,0.09473047176858268,-0.6537033440862593,-0.003623795624320342,-0.0188598039365658,-0.4277641094040279,-0.003772044482405181,-0.008830316079207144,-0.2122619999728465,0.9771656157304612
20,-0.726,-0.841,1.158,1.251,1.572,1.748,-0.3704661879657609,0.1507901858549922,-0.6894380554739092,-0.0006918929335047464,0.002964718287346663,-0.5487956694963875,6.866702433189668e-05,0.001520641406847225,-0.2709665411915518,0.9625875630243924
21,-0.767,-0.8139999999999999,1.095,1.278,1.571,1.751,-0.3695173984369634,0.1710528912332863,-0.7067810742554301,0.001913975699367707,0.01164180695699434,-0.586783984286079,0.002599479003729347,0.005295375995785277,-0.2892012301098067,0.9572501502767953
22,-0.675,-0.915,1.066,1.406,1.571,1.748,-0.471512552084397,0.2066937078221065,-0.6755137443339653,0.002231652026411166,0.01361617237670026,-0.4977797282811737,0.002758427694257551,0.006323397018873618,-0.2463296831207432,0.9691615411996245
23,-0.635,-0.944,1.034,1.466,1.571,1.75,-0.5157643041392775,0.2144654625547024,-0.6653900005558357,0.002437163029939736,0.01459566457992091,-0.455777033628132,0.002835762617353418,0.006833786873939742,-0.225923615836593,0.9741169219424634
24,-0.619,-0.953,1.016,1.49,1.571,1.751,-0.5340451212434884,0.2168119663826055,-0.6618012400567255,0.002989587563657942,0.01754462906553908,-0.438768288134897,0.003367989025233759,0.00823664016239602,-0.2176327511277124,0.975990163908092
25,-0.6879999999999999,-0.86,0.9320000000000001,1.289,1.535,1.744,-0.4727142273576698,0.2113943833358594,-0.6894916790034258,0.07187137159953613,0.2004517883184348,-0.5113348564912051,0.05987315977652937,0.08770299535000953,-0.2549376671828233,0.961108825886221
26,-0.718,-0.805,0.891,1.162,1.509,1.748,-0.4344183172378092,0.1943162198504606,-0.7059666395427892,0.1194122493171675,0.3067144578434158,-0.5323816787273773,0.09700576392137089,0.1316014572400487,-0.2683018766935808,0.9493603326351009
27,-0.714,-0.8110000000000001,0.903,1.159,1.51,1.746,-0.4347434221694977,0.1923197521147277,-0.7031907476729078,0.1172309615476506,0.3041755315903996,-0.5306159262752992,0.09553630448735059,0.1307670041530131,-0.2672994426374763,0.9499072655346102
