"time","x_ik","y_ik","z_ik","roll_ik","pitch_ik","yaw_ik","q1_ik","q2_ik","q3_ik","q4_ik","q5_ik","q6_ik"
12,-0.771149703,0.046870895,0.339619046,-3.139623843,-0.006553474,2.678385235,-0.2879999994974076,-2.787630907418709,-1.378999998683731,-0.5525544008699275,1.570000000358989,1.74600000064543
13,-0.766058599,0.111205346,0.335392257,-3.140843005,0.000337114,2.598389026,-0.3709999999254648,-2.782514858269084,-1.376999999257099,-0.5526704500781109,1.570000000075056,1.742999999722695
14,-0.758523166,0.205540473,0.32911513,3.140800073,0.009203997,2.481381668,-0.4880000008508836,-2.783909854165301,-1.349000002758272,-0.5702754498322328,1.569999999763075,1.742999999459926
15,-0.751122304,0.294493826,0.322756912,3.137968858,0.018859804,2.371356763,-0.5910000012231896,-2.794913121034153,-1.295000003055567,-0.6032721830253496,1.570999999930909,1.749999998770027
16,-0.7453490739999999,0.349235323,0.330059432,3.138256497,0.01180038,2.313376641,-0.6509999994518278,-2.822245382501228,-1.244999999025761,-0.6329399258445499,1.572000000023859,1.748000000437852
17,-0.734195619,0.46131276,0.348394942,-3.140046854,-0.009675747,2.199380504,-0.7630000071293125,-2.898154999270479,-1.103000047132463,-0.7210302608790558,1.571000000706745,1.749999993173418
18,-0.734966873,0.458528916,0.360300025,-3.139690321,-0.011643715,2.202376704,-0.7599999998896366,-2.913774565107238,-1.095000031508308,-0.7154107104985511,1.570999999824581,1.749999999945865
19,-0.743983335,0.407874923,0.423805749,-3.13953731,-0.012631835,2.256374696,-0.7079999998521634,-2.984254495585427,-1.084000000034247,-0.6569308118700474,1.571000000390172,1.747999999820105
20,-0.750658175,0.37066412,0.470611886,-3.139347386,-0.013613934,2.295372292,-0.6679999992234998,-3.042178041266185,-1.060999999378169,-0.6230072665625842,1.571000000314211,1.749000000460785
21,-0.767809387,0.352422634,0.508395998,-3.120856212,-0.066187733,2.326005155,-0.6390000006726223,-3.112167122497416,-0.9950000006857359,-0.6740181844017394,1.562000000013846,1.746999999305033
22,-0.777505103,0.381311833,0.490217748,-3.099489861,-0.124391663,2.305053188,-0.6609999997547156,-3.109010743143199,-0.9689999995313755,-0.7641745639904537,1.551000000344518,1.745000000554538
23,-0.810727715,0.475992271,0.427561803,-3.019986966,-0.309245894,2.228735992,-0.7250000002614011,-3.098829572787385,-0.8720000014115343,-1.067355733332752,1.508000000096223,1.749999999207197
