"time","x_ik","y_ik","z_ik","rx_ik","ry_ik","rz_ik","q1_ik","q2_ik","q3_ik","q4_ik","q5_ik","q6_ik"
12,-0.771149703,0.046870895,0.339619046,-3.139623843,-0.006553474,2.678385235,-0.4300914907170777,-2.290471522683346,-1.88304666986696,0.8007206438915677,-0.4581960146807739,2.467817475462613
13,-0.766058599,0.111205346,0.335392257,-3.140843005,0.000337114,2.598389026,-0.517503604759847,-2.286470774783026,-1.890434122337973,0.8927510585907911,-0.3872847230059371,2.372701811735525
14,-0.758523166,0.205540473,0.32911513,3.140800073,0.009203997,2.481381668,-0.360804777553822,-2.753471914604646,-1.459070940940762,-2.101922114969248,-2.571981402364666,2.179194468648525
15,-0.751122304,0.294493826,0.322756912,3.137968858,0.018859804,2.371356763,-0.4623654082270119,-2.750468974788339,-1.467217045320023,-2.240227947683396,-2.638824979315234,2.017423461308267
16,-0.7453490739999999,0.349235323,0.330059432,3.138256497,0.01180038,2.313376641,-0.5228077229599764,-2.764395498211508,-1.457275336367926,-2.32806996809566,-2.673623716436535,1.918578010289562
17,-0.734195619,0.46131276,0.348394942,-3.140046854,-0.009675747,2.199380504,-0.899896474721912,-2.446010827400243,-1.852249813723177,2.218230391505866,-0.2162910282612259,1.077355191754124
18,-0.734966873,0.458528916,0.360300025,-3.139690321,-0.011643715,2.202376704,-0.897059817405676,-2.462198939143993,-1.848889208903632,2.220334568914672,-0.2155447648730035,1.088075071966825
19,-0.743983335,0.407874923,0.423805749,-3.13953731,-0.012631835,2.256374696,-0.8483722465839088,-2.518082366438278,-1.845763363002705,2.051667472851285,-0.2091173716429283,1.324394858570392
20,-0.750658175,0.37066412,0.470611886,-3.139347386,-0.013613934,2.295372292,-0.8102880371480904,-2.566270298443842,-1.828532916094943,1.91164450353674,-0.213394901407176,1.50552350171916
21,-0.767809387,0.352422634,0.508395998,-3.120856212,-0.066187733,2.326005155,-0.7784460970028916,-2.620194098620775,-1.774822593130678,1.800233078995369,-0.2188676702080127,1.596831732640266
22,-0.777505103,0.381311833,0.490217748,-3.099489861,-0.124391663,2.305053188,-0.7954480615121836,-2.612867241020501,-1.751410087709089,1.871179807248781,-0.2123647348078237,1.458147238835411
23,-0.810727715,0.475992271,0.427561803,-3.019986966,-0.309245894,2.228735992,-0.8424936049632817,-2.604548924073616,-1.644866360441809,2.065125104355628,-0.2181126515385242,1.022122837962914
24,-0.8067160209999999,0.416371303,0.416418703,-3.042882805,-0.279577227,2.295954514,-0.8000671392798577,-2.539128478301677,-1.708189887814086,1.860065736273159,-0.1998291546386128,1.267433467866306
25,-0.80028026,0.322830228,0.400164474,-3.074446428,-0.225429073,2.399620695,-0.7243420385436301,-2.457960908259304,-1.755964815799179,1.431141067221244,-0.2062229811211484,1.725616917549035
26,-0.796581699,0.273303242,0.391937686,-3.089027661,-0.195320131,2.453635201,-0.6794783935277275,-2.428693849998428,-1.769638511025114,1.22678096757274,-0.2284902149107519,1.944812464825412
27,-0.7868683440000001,0.135555264,0.368555097,-3.119944016,-0.109793209,2.598467688,-0.5343388680359112,-2.362564125575927,-1.820118905944525,0.8886840993583465,-0.3458905305738686,2.338219863241441
