"time","theta","y","x"
0.156,1.559999999999986,1.468757238085264,1.514700641169752
0.158,1.579999999999986,1.498755489692163,1.515024524681501
0.16,1.599999999999985,1.528754219087125,1.514748418383437
0.162,1.619999999999985,1.55874142717837,1.513872432714399
0.164,1.639999999999985,1.588705119482486,1.512396918056974
0.166,1.659999999999984,1.618633310922061,1.510322464597353
0.168,1.679999999999984,1.648514030619557,1.50764990208926
0.17,1.699999999999983,1.678335326685499,1.504380299522064
0.172,1.719999999999983,1.708085270999073,1.500514964693199
0.174,1.739999999999982,1.737751963979214,1.496055443685058
0.176,1.759999999999982,1.767323539344281,1.491003520246587
0.178,1.779999999999982,1.79678816885841,1.485361215079801
0.18,1.799999999999981,1.826134067062651,1.479130785031538
0.182,1.819999999999981,1.855349495988997,1.472314722190746
0.184,1.83999999999998,1.884422769855411,1.464915752891681
0.186,1.85999999999998,1.913342259739985,1.456936836623413
0.188,1.879999999999979,1.942096398232352,1.448381164846062
0.19,1.899999999999979,1.9706736840605,1.439252159714268
0.192,1.919999999999979,1.999062686691123,1.429553472708363
0.194,1.939999999999978,2.027252050901683,1.419288983173837
0.196,1.959999999999978,2.055230501322349,1.408462796769645
0.198,1.979999999999977,2.082986846945995,1.397079243826001
0.2,1.999999999999977,2.110509985604449,1.385142877612304
0.202,2.019999999999976,2.13778890840922,1.37265847251589
0.204,2.039999999999976,2.164812704154899,1.359631022132342
0.206,2.059999999999976,2.1915705636835,1.346065737268115
0.208,2.079999999999975,2.21805178420798,1.331968043856288
0.21,2.099999999999975,2.244245773593206,1.317343580786258
0.212,2.119999999999974,2.270142054592672,1.302198197648263
0.214,2.139999999999974,2.295730269039259,1.286537952393622
0.216,2.159999999999973,2.321000181988359,1.270369108911637
0.218,2.179999999999973,2.34594168581172,1.25369813452412
0.22,2.199999999999973,2.370544804240361,1.236531697398547
0.222,2.219999999999972,2.394799696354949,1.218876663880887
0.224,2.239999999999972,2.418696660522032,1.20074009574915
0.226,2.259999999999971,2.442226138274565,1.182129247388771
0.228,2.279999999999971,2.46537871813517,1.163051562890951
0.23,2.299999999999971,2.488145139380598,1.143514673075126
0.232,2.31999999999997,2.5105162957459,1.123526392436732
0.234,2.33999999999997,2.532483239066808,1.103094716021518
0.236,2.359999999999969,2.554037182858882,1.082227816227631
0.238,2.379999999999969,2.575169505831988,1.060934039536768
0.24,2.399999999999968,2.595871755338697,1.039221903175692
0.242,2.419999999999968,2.616135650755232,1.017100091709455
0.244,2.439999999999968,2.635953086793609,0.9945774535676911
0.246,2.459999999999967,2.65531613674364,0.9716629975053586
0.248,2.479999999999967,2.674217055643518,0.9483658889993604
0.25,2.499999999999966,2.69264828337769,0.924695446582475
0.252,2.519999999999966,2.710602447700809,0.9006611381160676
0.254,2.539999999999965,2.728072367186533,0.8762725770030715
0.256,2.559999999999965,2.745051054099995,0.8515395183427554
0.258,2.579999999999965,2.761531717192809,0.8264718550288138
0.26,2.599999999999964,2.777507764419479,0.8010796137923412
0.262,2.619999999999964,2.792972805574124,0.7753729511912733
0.264,2.639999999999963,2.80792065484648,0.7493621495478997
0.266,2.659999999999963,2.82234533329614,0.7230576128360718
0.268,2.679999999999962,2.836241071244052,0.6964698625197518
0.27,2.699999999999962,2.849602310580309,0.6696095333445676
0.272,2.719999999999962,2.862423706987325,0.6424873690840562
0.274,2.739999999999961,2.874700132077487,0.6151142182422979
0.276,2.759999999999961,2.886426675444441,0.587501029714659
0.278,2.77999999999996,2.897598646627194,0.5596588484083794
0.28,2.79999999999996,2.908211576986229,0.5315988108247577
0.282,2.819999999999959,2.918261221490908,0.5033321406046983
0.284,2.839999999999959,2.92774356041742,0.4748701440394055
0.286,2.859999999999959,2.936654800956627,0.4462242055480171
0.288,2.879999999999958,2.944991378731125,0.4174057831239889
0.29,2.899999999999958,2.95274995922096,0.38842640375205
0.292,2.919999999999957,2.959927439097381,0.3592976587975626
0.294,2.939999999999957,2.966520947464135,0.3300311993701304
0.296,2.959999999999956,2.972527847005789,0.3006387316633101
0.298,2.979999999999956,2.977945735042618,0.2711320122722902
0.3,2.999999999999956,2.982772444491642,0.2415228434914093
0.302,3.019999999999955,2.98700604473344,0.2118230685933961
0.304,3.039999999999955,2.99064484238436,0.1820445670922181
0.306,3.059999999999954,2.993687381973859,0.1521992499914345
0.308,3.079999999999954,2.996132446526669,0.1222990550199532
0.31,3.099999999999953,2.997979058049567,0.09235594185709894
0.312,3.119999999999953,2.999226477922567,0.06238188734890062
0.314,3.139999999999953,2.999874207194352,0.0323888807175128
0.316,-3.123185307179634,2.999921986781848,0.002388918765686619
0.318,-3.103185307179634,2.999369797573858,-0.02760599892179135
0.32,-3.083185307179634,2.998217860438702,-0.05758387477777303
0.322,-3.063185307179634,2.996466636135876,-0.08753271805161571
0.324,-3.043185307179634,2.994116825131751,-0.1174405496053224
0.326,-3.023185307179634,2.9911693673194,-0.1472954067050375
