"time","joint_angle_1","joint_angle_2","joint_angle_3","joint_angle_4","joint_angle_5","joint_angle_6","ee_x","ee_y","ee_z"
0.434,42.25328910394181,-48.27781806736336,-6.127332940533572,25.07331847439767,-28.65749482349539,0,0.4165551642386739,-0.1601694522304819,0.7440671804654385
0.436,42.33392448984339,-48.34640553413201,-6.123567499051056,25.07076823409628,-28.66290137368373,0,0.4171873989403168,-0.1592119906715746,0.7438226892331887
0.438,42.41393494096522,-48.41436625549091,-6.119785821323437,25.06799022959042,-28.66806805256368,0,0.4178138072021734,-0.1582606338434463,0.7435795841051935
0.44,42.49332574279541,-48.48170639227145,-6.115988598273166,25.06498894687284,-28.67299914700194,0,0.4184344524742632,-0.1573153494961394,0.7433378597942921
0.442,42.57210213026638,-48.54843203915552,-6.112176505108572,25.06176880455461,-28.67769887859514,0,0.4190493973998701,-0.1563761053911131,0.7430975109749621
0.444,42.65026928830091,-48.61454922547564,-6.10835020166861,25.05833415476839,-28.68217140467095,0,0.4196587038269456,-0.1554428693061235,0.7428585322853154
0.446,42.72783235235936,-48.68006391599785,-6.104510332755481,25.05468928408837,-28.68642081922878,0,0.4202624328194796,-0.1545156090399537,0.7426209183289447
0.448,42.80479640898027,-48.74498201169333,-6.100657528459815,25.050838414457,-28.69045115388824,0,0.4208606446685564,-0.1535942924170375,0.7423846636767296
0.45,42.88116649630981,-48.80930935050436,-6.096792404483227,25.04678570408291,-28.6942663787917,0,0.421453398903417,-0.1526788872918846,0.7421497628685609
0.452,42.95694760463177,-48.87305170808818,-6.092915562439871,25.04253524831781,-28.69787040355893,0,0.4220407543021088,-0.1517693615533867,0.7419162104151046
0.454,43.03214467688466,-48.9362147985583,-6.089027590169066,25.03809108051363,-28.70126707811107,0,0.4226227689024467,-0.1508656831289012,0.7416840007993951
0.456,43.10676260917882,-48.99880427522008,-6.085129062027594,25.03345717292003,-28.704460193617,0,0.4231995000121978,-0.1499678199883063,0.7414531284784562
0.458,43.18080625130489,-49.0608257312817,-6.08122053917687,25.02863743751432,-28.70745348334663,0,0.4237710042194991,-0.149075740147858,0.7412235878848723
