"time","ee_y","joint_angle_2","joint_angle_3","joint_angle_6","joint_angle_5","joint_angle_4","ee_z","ee_x","joint_angle_1"
0.154,-0.3940159629977723,5.13295044707128,7.0375922113255,0,30.37664981026633,-30.2673001952158,0.7388632671991845,0.1764918217198718,-1.306385014338272
0.156,-0.3929841339075264,5.151605864547816,7.126907001434461,0,30.64122091442739,-30.5414300347737,0.7376241006611578,0.1779123245364452,-1.32319231652882
0.158,-0.3919533504216578,5.169251884632303,7.215563093017543,0,30.90334150825045,-30.8129372033859,0.7363852968293342,0.179316834485191,-1.339454428248098
0.16,-0.390923745245268,5.185906042073612,7.303565586434722,0,31.1630403704381,-31.0818529352444,0.7351470272663837,0.1807055389800608,-1.355175957288256
0.162,-0.3898954463959881,5.201585687497134,7.390919625235408,0,31.4203458356794,-31.34820798724509,0.7339094586538641,0.1820786219318982,-1.370361760504525
0.164,-0.3888685773681794,5.216307983448823,7.477630384564968,0,31.67528580361749,-31.61203264846062,0.732672752903284,0.1834362638971308,-1.385016921723491
0.166,-0.3878432572906588,5.230089900996151,7.563703060744235,0,31.92788774741026,-31.87335674930948,0.7314370672650913,0.184778642217914,-1.399146731009071
0.168,-0.3868196010771102,5.242948216850994,7.649142861915154,0,32.17817872233782,-32.13220967048012,0.7302025544347621,0.1861059311553835,-1.412756665229014
0.17,-0.3857977195706368,5.254899510962408,7.733954999688147,0,32.42618537397949,-32.38862035170229,0.72896936265665,0.1874183020152509,-1.42585236982506
0.172,-0.3847777196818092,5.265960164555522,7.818144681660458,0,32.67193394638104,-32.64261730021746,0.7277376358254806,0.1887159232668564,-1.438439641727151
0.174,-0.3837597045212532,5.276146358561196,7.901717104756558,0,32.91545028989636,-32.89422859909518,0.7265075135856337,0.1899989606554598,-1.450524413340163
0.176,-0.3827437735266598,5.285474072427731,7.984677449318401,0,33.15675986884681,-33.14348191532387,0.7252791314283872,0.1912675773082765,-1.46211273753916
0.178,-0.381730022584413,5.293959083254337,8.067030873863958,0,33.3958877690674,-33.39040450769239,0.7240526207869246,0.1925219338348229,-1.473210773631003
0.18,-0.3807185441463194,5.301616965246581,8.148782510457417,0,33.63285870522139,-33.63502323449987,0.7228281091293949,0.1937621884214973,-1.48382477419828
0.182,-0.3797094273414392,5.308463089441242,8.229937460627665,0,33.86769702801178,-33.87736456105192,0.7216057200499154,0.1949884969210351,-1.493961072796675
0.184,-0.3787027580838104,5.314512623704486,8.310500791818384,0,34.10042673103026,-34.11745456703105,0.7203855733579042,0.1962010129364361,-1.503626072439456
0.186,-0.3776986191751996,5.319780532950346,8.390477534266074,0,34.33107145772706,-34.35531895362055,0.7191677851651894,0.1973998879008133,-1.51282623484287
0.188,-0.3766970904042628,5.324281579579107,8.469872678306549,0,34.55965450801156,-34.59098305049379,0.7179524679715986,0.198585271152198,-1.521568070365109
0.19,-0.3756982486417784,5.328030324105367,8.548691172075785,0,34.78619884469767,-34.82447182264518,0.7167397307487385,0.199757310004113,-1.529858128622752
0.192,-0.3747021679319914,5.331041125971511,8.626937919522108,0,35.01072709987478,-35.05580987707081,0.7155296790218778,0.2009161498122524,-1.537702989714443
0.194,-0.3737089195802942,5.333328144508178,8.70461777872589,0,35.2332615811908,-35.28502146924076,0.7143224149501535,0.202061934037467,-1.545109256047395
0.196,-0.372718572237956,5.334905340045238,8.781735560532043,0,35.45382427780434,-35.51213050948017,0.7131180374053041,0.2031948043047495,-1.552083544718584
0.198,-0.371731191983537,5.335786475158861,8.85829602739395,0,35.67243686626685,-35.73716056919049,0.7119166420486921,0.2043149004589148,-1.558632480397391
0.2,-0.3707468424008601,5.33598511601598,8.934303892464095,0,35.88912071640708,-35.96013488689989,0.7107183214064986,0.2054223606174729,-1.564762688733129
