"time","x_t","y_t","z_t","roll_t","pitch_t","yaw_t","q1","q2","q3","q4","q5","q6"
0.35,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.36,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.37,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.38,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.39,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.4,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.41,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.42,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.43,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.44,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.45,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.46,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.47,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.48,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.49,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.5,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.51,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.52,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.53,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.54,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.55,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.5600000000000001,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.5700000000000001,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.58,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.59,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.6,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.61,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.62,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.63,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.64,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.65,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.66,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.67,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.68,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.6900000000000001,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.7000000000000001,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.71,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.72,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.73,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.74,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
0.75,-0.572,-0.291,0.674,1.57,-6.18e-23,-1.11e-38,-2.396413446792124,-2.13172798860082,1.480170596868936,-0.9200352616054202,1.569621983115496,3.140796327047386
